,Gender,Age,Location,Financial Condition,Adaptivity Level
117,Boy,21-25,Yes,Mid,Low
118,Boy,16-20,No,Poor,Moderate
119,Girl,21-25,No,Mid,Moderate
120,Girl,16-20,Yes,Mid,Moderate
121,Girl,16-20,Yes,Mid,Low
122,Boy,11-15,Yes,Mid,Moderate
123,Boy,11-15,Yes,Mid,Moderate
124,Girl,16-20,Yes,Mid,Moderate
125,Girl,11-15,Yes,Poor,Low
126,Girl,21-25,Yes,Mid,Low
127,Boy,16-20,Yes,Mid,Moderate
128,Girl,11-15,Yes,Mid,Low
129,Boy,21-25,Yes,Rich,High
130,Girl,21-25,Yes,Mid,Moderate
131,Boy,21-25,No,Mid,Low
132,Boy,21-25,No,Mid,High
133,Boy,16-20,Yes,Poor,Low
134,Boy,21-25,Yes,Mid,Moderate
135,Boy,21-25,Yes,Mid,Low
136,Girl,16-20,Yes,Poor,Low
137,Girl,21-25,Yes,Mid,Moderate
138,Girl,1-5,Yes,Poor,Moderate
139,Girl,11-15,Yes,Mid,Moderate
140,Girl,11-15,Yes,Poor,Low
141,Boy,21-25,Yes,Mid,Moderate
142,Girl,11-15,Yes,Mid,Moderate
143,Girl,16-20,No,Mid,Moderate
144,Boy,21-25,No,Poor,Low
145,Boy,21-25,Yes,Mid,Moderate
146,Boy,21-25,Yes,Poor,Moderate
147,Boy,11-15,Yes,Mid,Low
148,Girl,21-25,Yes,Poor,Low
149,Girl,21-25,No,Mid,Low
150,Girl,1-5,Yes,Poor,Moderate
151,Boy,16-20,No,Mid,Low
152,Boy,11-15,Yes,Rich,High
153,Boy,6-10,Yes,Rich,Moderate
154,Boy,21-25,Yes,Mid,Low
155,Boy,21-25,Yes,Mid,Low
156,Boy,1-5,Yes,Poor,Low
157,Boy,26-30,Yes,Rich,High
158,Girl,1-5,Yes,Mid,Moderate
159,Boy,21-25,Yes,Mid,Moderate
160,Boy,21-25,Yes,Mid,Low
161,Boy,21-25,No,Mid,High
162,Boy,16-20,No,Poor,Moderate
163,Boy,6-10,No,Mid,Low
164,Girl,16-20,No,Poor,Low
165,Girl,11-15,Yes,Mid,Moderate
166,Boy,21-25,No,Poor,Low
167,Boy,26-30,No,Mid,High
168,Girl,11-15,Yes,Mid,Moderate
169,Boy,16-20,Yes,Mid,Low
170,Boy,21-25,Yes,Mid,Moderate
171,Girl,26-30,Yes,Mid,Low
172,Girl,16-20,Yes,Mid,Low
173,Boy,21-25,Yes,Rich,High
174,Boy,11-15,Yes,Mid,Moderate
175,Boy,21-25,Yes,Mid,Low
176,Girl,11-15,Yes,Poor,Moderate
177,Boy,16-20,Yes,Mid,Low
178,Girl,16-20,Yes,Mid,Low
179,Girl,16-20,Yes,Poor,Low
180,Boy,11-15,Yes,Mid,Moderate
181,Boy,1-5,Yes,Mid,Low
182,Girl,1-5,Yes,Mid,Moderate
183,Girl,21-25,Yes,Rich,Moderate
184,Girl,16-20,Yes,Mid,Low
185,Boy,11-15,Yes,Poor,Low
186,Girl,11-15,Yes,Mid,Moderate
187,Girl,21-25,Yes,Mid,Low
188,Boy,11-15,Yes,Mid,Moderate
189,Boy,21-25,Yes,Mid,Moderate
190,Boy,11-15,Yes,Poor,Low
191,Boy,21-25,Yes,Mid,Moderate
192,Boy,21-25,Yes,Mid,Moderate
193,Boy,16-20,No,Poor,Low
194,Girl,16-20,No,Mid,Low
195,Boy,21-25,Yes,Mid,Low
196,Boy,16-20,Yes,Poor,Low
197,Boy,11-15,Yes,Poor,Moderate
198,Boy,11-15,Yes,Mid,Moderate
199,Girl,11-15,Yes,Mid,Low
200,Boy,6-10,Yes,Mid,Low
201,Boy,11-15,Yes,Poor,Low
202,Boy,11-15,Yes,Poor,Low
203,Boy,21-25,Yes,Mid,Moderate
204,Boy,11-15,Yes,Poor,Low
205,Boy,11-15,Yes,Mid,High
206,Boy,26-30,Yes,Mid,Moderate
207,Boy,11-15,Yes,Poor,Low
208,Girl,26-30,Yes,Mid,Low
209,Girl,21-25,Yes,Mid,Low
210,Girl,11-15,No,Poor,Low
211,Girl,16-20,No,Rich,High
212,Girl,16-20,No,Mid,Low
213,Girl,16-20,Yes,Mid,Moderate
214,Girl,21-25,Yes,Mid,Moderate
215,Boy,16-20,Yes,Rich,Moderate
216,Boy,11-15,Yes,Mid,Moderate
217,Girl,16-20,Yes,Poor,Low
218,Boy,21-25,Yes,Poor,Low
219,Boy,11-15,No,Mid,Low
220,Boy,21-25,Yes,Mid,Moderate
221,Boy,11-15,Yes,Mid,Moderate
222,Girl,11-15,Yes,Mid,Moderate
223,Boy,11-15,Yes,Mid,Moderate
224,Girl,21-25,No,Mid,Low
225,Girl,11-15,Yes,Mid,Moderate
226,Boy,21-25,Yes,Mid,Moderate
227,Boy,1-5,Yes,Poor,Low
228,Boy,11-15,Yes,Mid,Moderate
229,Girl,11-15,Yes,Poor,Moderate
230,Girl,11-15,Yes,Poor,Moderate
231,Girl,21-25,Yes,Mid,Moderate
232,Girl,16-20,Yes,Mid,Low
233,Boy,11-15,Yes,Mid,High
234,Boy,21-25,No,Mid,Moderate
235,Boy,21-25,No,Poor,Moderate
236,Boy,21-25,Yes,Mid,Moderate
237,Girl,26-30,Yes,Mid,Low
238,Girl,21-25,Yes,Mid,Moderate
239,Boy,21-25,Yes,Mid,Low
240,Girl,21-25,Yes,Mid,Low
241,Boy,11-15,Yes,Mid,Moderate
242,Girl,11-15,Yes,Rich,Moderate
243,Girl,16-20,No,Mid,Moderate
244,Girl,11-15,No,Mid,Low
245,Girl,1-5,Yes,Poor,Moderate
246,Boy,21-25,Yes,Mid,Moderate
247,Boy,11-15,Yes,Poor,Low
248,Boy,21-25,Yes,Mid,Moderate
249,Boy,21-25,Yes,Mid,Moderate
250,Boy,21-25,Yes,Mid,Moderate
251,Girl,16-20,Yes,Mid,Low
252,Boy,16-20,No,Mid,Low
253,Boy,21-25,No,Poor,Low
254,Girl,11-15,Yes,Poor,Moderate
255,Boy,11-15,Yes,Mid,Moderate
256,Boy,16-20,Yes,Mid,Moderate
257,Girl,21-25,Yes,Mid,Moderate
258,Boy,11-15,Yes,Poor,Low
259,Boy,26-30,Yes,Rich,High
260,Girl,11-15,Yes,Poor,Low
261,Boy,21-25,Yes,Mid,Low
262,Girl,16-20,Yes,Mid,Moderate
263,Boy,1-5,Yes,Poor,Low
264,Boy,16-20,Yes,Mid,Low
265,Girl,1-5,Yes,Poor,Moderate
266,Girl,16-20,Yes,Mid,Moderate
267,Girl,16-20,Yes,Mid,Low
268,Girl,16-20,Yes,Mid,Moderate
269,Boy,21-25,Yes,Poor,High
270,Boy,11-15,Yes,Mid,Moderate
271,Boy,21-25,Yes,Mid,Moderate
272,Boy,11-15,Yes,Mid,Moderate
273,Girl,11-15,Yes,Mid,Moderate
274,Girl,6-10,Yes,Mid,Low
275,Boy,11-15,Yes,Mid,Moderate
276,Girl,16-20,Yes,Mid,Low
277,Girl,21-25,No,Mid,Low
278,Boy,21-25,No,Poor,Low
279,Boy,11-15,Yes,Mid,Low
280,Boy,26-30,No,Poor,Low
281,Girl,16-20,No,Mid,Low
282,Girl,21-25,Yes,Mid,Low
283,Boy,21-25,Yes,Poor,High
284,Boy,21-25,No,Mid,Moderate
285,Boy,21-25,No,Poor,Low
286,Boy,21-25,Yes,Mid,Moderate
287,Boy,11-15,Yes,Mid,Low
288,Boy,11-15,Yes,Mid,Low
289,Boy,11-15,Yes,Poor,Moderate
290,Boy,11-15,Yes,Mid,Moderate
291,Boy,11-15,Yes,Mid,Moderate
292,Girl,1-5,Yes,Mid,Moderate
293,Girl,21-25,Yes,Mid,Moderate
294,Girl,1-5,Yes,Rich,Low
295,Boy,11-15,Yes,Poor,Moderate
296,Boy,21-25,Yes,Rich,High
297,Girl,16-20,No,Mid,Moderate
298,Boy,11-15,Yes,Mid,Moderate
299,Boy,11-15,Yes,Mid,Moderate
300,Boy,21-25,Yes,Rich,High
301,Boy,21-25,Yes,Mid,Moderate
302,Boy,1-5,Yes,Mid,Low
303,Girl,1-5,Yes,Poor,Moderate
304,Boy,21-25,No,Poor,Moderate
305,Girl,16-20,Yes,Mid,Low
306,Boy,16-20,Yes,Mid,Moderate
307,Boy,11-15,Yes,Rich,Moderate
308,Boy,21-25,Yes,Mid,Moderate
309,Boy,21-25,Yes,Mid,Moderate
310,Girl,1-5,Yes,Poor,Moderate
311,Girl,16-20,No,Mid,Low
312,Boy,11-15,Yes,Poor,Moderate
313,Boy,11-15,Yes,Mid,Moderate
314,Girl,16-20,Yes,Mid,Moderate
315,Girl,11-15,Yes,Poor,Low
316,Boy,21-25,Yes,Mid,Moderate
317,Girl,21-25,Yes,Mid,Low
318,Girl,16-20,Yes,Mid,Low
319,Girl,11-15,Yes,Poor,Low
320,Boy,11-15,Yes,Rich,Moderate
321,Boy,21-25,Yes,Mid,Low
322,Girl,1-5,Yes,Mid,Moderate
323,Girl,11-15,Yes,Poor,Low
324,Girl,16-20,No,Mid,Low
325,Boy,21-25,No,Mid,Moderate
326,Girl,1-5,Yes,Poor,Moderate
327,Boy,11-15,Yes,Mid,Moderate
328,Boy,21-25,No,Mid,Moderate
329,Girl,21-25,No,Mid,Low
330,Girl,11-15,Yes,Mid,Moderate
331,Boy,21-25,Yes,Mid,Low
332,Girl,21-25,Yes,Poor,Low
333,Girl,21-25,No,Mid,Moderate
334,Girl,16-20,Yes,Mid,Moderate
335,Boy,21-25,Yes,Mid,Moderate
336,Boy,21-25,Yes,Mid,Low
337,Boy,16-20,Yes,Mid,Low
338,Boy,11-15,Yes,Mid,Moderate
339,Girl,26-30,No,Poor,Low
340,Girl,1-5,Yes,Mid,Moderate
341,Girl,21-25,Yes,Mid,Moderate
342,Girl,11-15,Yes,Mid,Moderate
343,Boy,16-20,Yes,Mid,Moderate
344,Girl,21-25,Yes,Mid,Low
345,Boy,21-25,No,Poor,Moderate
346,Girl,26-30,Yes,Mid,Low
347,Boy,6-10,Yes,Rich,Moderate
348,Boy,11-15,Yes,Poor,Low
349,Boy,11-15,Yes,Poor,Moderate
350,Girl,1-5,Yes,Poor,Moderate
351,Girl,26-30,No,Poor,Low
352,Girl,16-20,Yes,Mid,Moderate
353,Boy,21-25,Yes,Mid,Moderate
354,Boy,11-15,Yes,Mid,Moderate
355,Boy,16-20,No,Rich,Low
356,Boy,16-20,Yes,Mid,Moderate
357,Girl,11-15,Yes,Mid,Moderate
358,Girl,6-10,Yes,Mid,Moderate
359,Boy,11-15,Yes,Mid,Moderate
360,Boy,11-15,Yes,Mid,Moderate
361,Girl,6-10,Yes,Poor,High
362,Boy,21-25,Yes,Mid,Low
363,Boy,11-15,Yes,Mid,Moderate
364,Boy,21-25,Yes,Poor,Low
365,Boy,21-25,Yes,Rich,High
366,Girl,16-20,Yes,Mid,Low
367,Girl,11-15,Yes,Mid,Moderate
368,Girl,16-20,Yes,Mid,Moderate
369,Girl,16-20,Yes,Mid,Low
370,Boy,16-20,Yes,Mid,Moderate
371,Boy,21-25,Yes,Mid,Moderate
372,Girl,16-20,Yes,Mid,Low
373,Boy,26-30,Yes,Mid,Moderate
374,Boy,21-25,Yes,Mid,Moderate
375,Girl,6-10,No,Mid,Low
376,Girl,11-15,No,Mid,Low
377,Boy,21-25,Yes,Mid,Moderate
378,Girl,1-5,Yes,Poor,Moderate
379,Girl,26-30,Yes,Mid,Low
380,Boy,11-15,Yes,Mid,Low
381,Boy,21-25,No,Mid,Moderate
382,Boy,11-15,Yes,Mid,Low
383,Boy,21-25,No,Mid,Moderate
384,Boy,16-20,Yes,Mid,Moderate
385,Boy,21-25,No,Mid,Moderate
386,Boy,11-15,Yes,Mid,Moderate
387,Boy,11-15,Yes,Mid,Moderate
388,Boy,26-30,Yes,Poor,Moderate
389,Girl,11-15,No,Mid,Low
390,Girl,16-20,Yes,Mid,High
391,Girl,11-15,Yes,Mid,Moderate
392,Girl,16-20,No,Mid,Low
393,Girl,26-30,No,Poor,Low
394,Girl,16-20,Yes,Mid,Low
395,Boy,21-25,Yes,Mid,Low
396,Girl,21-25,No,Mid,Low
397,Boy,21-25,Yes,Rich,Low
398,Boy,21-25,Yes,Poor,High
399,Girl,26-30,Yes,Mid,Low
400,Boy,16-20,Yes,Mid,Moderate
401,Boy,16-20,Yes,Mid,Moderate
402,Boy,26-30,Yes,Mid,Low
403,Boy,16-20,Yes,Mid,Moderate
404,Boy,21-25,Yes,Mid,Low
405,Girl,26-30,No,Poor,Low
406,Boy,21-25,Yes,Mid,High
407,Girl,1-5,Yes,Poor,Moderate
408,Boy,11-15,Yes,Mid,Moderate
409,Boy,26-30,Yes,Rich,High
410,Boy,21-25,Yes,Rich,High
411,Boy,21-25,Yes,Poor,High
412,Boy,21-25,Yes,Mid,Moderate
413,Girl,16-20,No,Mid,Low
414,Girl,1-5,Yes,Mid,Moderate
415,Boy,26-30,Yes,Mid,Low
416,Boy,16-20,No,Mid,Low
417,Boy,26-30,Yes,Mid,Moderate
418,Boy,16-20,Yes,Mid,Moderate
419,Girl,16-20,Yes,Mid,Low
420,Girl,11-15,Yes,Mid,Moderate
421,Girl,6-10,Yes,Mid,Moderate
422,Girl,11-15,Yes,Mid,Moderate
423,Girl,16-20,Yes,Mid,Low
424,Boy,1-5,Yes,Mid,Low
425,Girl,26-30,No,Poor,Low
426,Boy,21-25,Yes,Mid,Moderate
427,Boy,21-25,Yes,Mid,High
428,Boy,11-15,Yes,Mid,Low
429,Boy,11-15,Yes,Poor,Low
430,Boy,21-25,No,Poor,Moderate
431,Girl,26-30,Yes,Poor,Low
432,Boy,11-15,Yes,Mid,High
433,Girl,21-25,Yes,Mid,Low
434,Girl,21-25,No,Mid,Moderate
435,Girl,21-25,Yes,Mid,Low
436,Girl,26-30,Yes,Mid,Low
437,Girl,21-25,Yes,Mid,Moderate
438,Boy,11-15,Yes,Poor,Low
439,Girl,16-20,Yes,Mid,Moderate
440,Boy,21-25,Yes,Mid,Moderate
441,Boy,16-20,Yes,Mid,Moderate
442,Girl,26-30,Yes,Mid,Low
443,Boy,11-15,Yes,Mid,Moderate
444,Boy,11-15,Yes,Poor,Low
445,Girl,21-25,Yes,Mid,Moderate
446,Boy,21-25,Yes,Mid,Low
447,Girl,21-25,Yes,Mid,High
448,Boy,21-25,Yes,Rich,Low
449,Girl,11-15,Yes,Mid,Moderate
450,Girl,11-15,Yes,Poor,Moderate
451,Girl,21-25,Yes,Rich,High
452,Boy,1-5,No,Mid,Low
453,Girl,16-20,Yes,Poor,Low
454,Boy,21-25,No,Poor,Moderate
455,Girl,21-25,Yes,Poor,Low
456,Boy,11-15,Yes,Mid,Moderate
457,Boy,21-25,Yes,Mid,Low
458,Boy,21-25,No,Poor,Low
459,Boy,21-25,Yes,Poor,Moderate
460,Boy,11-15,Yes,Mid,Moderate
461,Boy,21-25,Yes,Poor,High
462,Boy,21-25,No,Mid,High
463,Boy,21-25,Yes,Poor,High
464,Girl,11-15,Yes,Rich,High
465,Boy,21-25,No,Mid,Moderate
466,Boy,21-25,No,Poor,Low
467,Boy,11-15,No,Poor,Low
468,Girl,16-20,Yes,Mid,Moderate
469,Boy,21-25,Yes,Mid,Low
470,Boy,21-25,No,Poor,Moderate
471,Boy,21-25,Yes,Mid,Low
472,Boy,11-15,No,Poor,Low
473,Boy,21-25,No,Mid,Moderate
474,Girl,16-20,No,Mid,Moderate
475,Boy,11-15,Yes,Mid,Low
476,Boy,21-25,Yes,Poor,High
477,Girl,11-15,Yes,Mid,Moderate
478,Boy,11-15,Yes,Mid,Low
479,Boy,26-30,Yes,Mid,Moderate
480,Girl,16-20,Yes,Mid,Moderate
481,Boy,21-25,No,Mid,Low
482,Girl,11-15,Yes,Poor,Low
483,Boy,16-20,Yes,Mid,Low
484,Boy,21-25,Yes,Mid,Moderate
485,Boy,16-20,No,Mid,Moderate
486,Girl,21-25,Yes,Mid,Moderate
487,Boy,21-25,Yes,Mid,Moderate
488,Girl,21-25,Yes,Mid,Low
489,Girl,11-15,Yes,Poor,Moderate
490,Boy,21-25,Yes,Poor,High
491,Boy,11-15,Yes,Mid,Moderate
492,Boy,16-20,Yes,Poor,Low
493,Girl,21-25,Yes,Rich,High
494,Boy,21-25,Yes,Mid,Low
495,Girl,16-20,No,Mid,Low
496,Boy,11-15,No,Mid,Low
497,Boy,21-25,Yes,Mid,Moderate
498,Boy,21-25,Yes,Mid,Moderate
499,Boy,21-25,No,Mid,Moderate
500,Girl,16-20,No,Mid,Low
501,Girl,16-20,Yes,Mid,Low
502,Girl,16-20,Yes,Mid,Low
503,Boy,21-25,Yes,Mid,Low
504,Girl,16-20,No,Poor,Low
505,Boy,16-20,No,Poor,Low
506,Girl,6-10,Yes,Rich,High
507,Boy,21-25,No,Mid,Moderate
508,Girl,16-20,No,Mid,Low
509,Girl,11-15,Yes,Mid,Moderate
510,Girl,16-20,Yes,Mid,Low
511,Girl,21-25,Yes,Mid,Moderate
512,Girl,16-20,Yes,Mid,Low
513,Girl,1-5,Yes,Mid,Moderate
514,Girl,11-15,No,Poor,Low
515,Girl,16-20,No,Mid,Moderate
516,Boy,21-25,Yes,Mid,Low
517,Boy,21-25,Yes,Rich,High
518,Girl,21-25,Yes,Mid,Low
519,Boy,21-25,No,Mid,Moderate
520,Girl,16-20,Yes,Mid,Low
521,Girl,11-15,Yes,Poor,Low
522,Boy,11-15,No,Mid,Low
523,Girl,21-25,Yes,Mid,Moderate
524,Boy,21-25,Yes,Mid,Low
525,Girl,21-25,Yes,Mid,Moderate
526,Boy,21-25,Yes,Mid,Moderate
527,Boy,21-25,Yes,Mid,Moderate
528,Boy,16-20,Yes,Mid,Moderate
529,Girl,11-15,Yes,Poor,Moderate
530,Boy,21-25,Yes,Mid,Moderate
531,Girl,16-20,No,Mid,Low
532,Boy,21-25,Yes,Mid,Low
533,Boy,11-15,Yes,Poor,Moderate
534,Boy,16-20,Yes,Mid,Moderate
535,Boy,16-20,Yes,Mid,Moderate
536,Girl,11-15,Yes,Mid,Moderate
537,Boy,11-15,Yes,Poor,Low
538,Boy,11-15,Yes,Mid,Low
539,Girl,11-15,Yes,Mid,Moderate
540,Boy,16-20,Yes,Mid,Moderate
541,Girl,11-15,Yes,Mid,Moderate
542,Girl,1-5,Yes,Mid,Moderate
543,Girl,16-20,Yes,Mid,Moderate
544,Girl,11-15,Yes,Mid,Moderate
545,Girl,1-5,Yes,Mid,Moderate
546,Girl,6-10,Yes,Poor,High
547,Boy,11-15,Yes,Mid,Moderate
548,Girl,16-20,Yes,Mid,Low
549,Boy,26-30,Yes,Poor,Moderate
550,Boy,21-25,Yes,Mid,Moderate
551,Girl,16-20,No,Mid,Low
552,Boy,16-20,Yes,Mid,Moderate
553,Girl,11-15,Yes,Mid,Moderate
554,Boy,21-25,No,Mid,Moderate
555,Girl,11-15,Yes,Mid,Moderate
556,Girl,26-30,No,Poor,Low
557,Girl,21-25,Yes,Mid,Moderate
558,Girl,21-25,No,Mid,Low
559,Girl,1-5,Yes,Mid,Moderate
560,Boy,6-10,Yes,Rich,High
561,Girl,1-5,Yes,Mid,Moderate
562,Girl,11-15,Yes,Mid,Moderate
563,Boy,21-25,No,Poor,Low
564,Boy,21-25,No,Mid,Low
565,Boy,21-25,Yes,Mid,Moderate
566,Girl,26-30,Yes,Mid,Low
567,Boy,11-15,Yes,Mid,Moderate
568,Boy,16-20,No,Poor,Moderate
569,Boy,11-15,Yes,Mid,Moderate
570,Boy,26-30,No,Mid,Moderate
571,Boy,11-15,Yes,Rich,Moderate
572,Boy,21-25,Yes,Poor,High
573,Boy,11-15,Yes,Mid,Low
574,Girl,16-20,No,Mid,Low
575,Boy,21-25,Yes,Mid,Low
576,Boy,11-15,Yes,Mid,Low
577,Boy,21-25,Yes,Mid,Low
578,Girl,21-25,Yes,Mid,Moderate
579,Boy,16-20,Yes,Mid,Moderate
580,Boy,21-25,Yes,Mid,Low
581,Boy,21-25,Yes,Mid,Low
582,Boy,16-20,No,Poor,Low
583,Boy,16-20,Yes,Mid,Moderate
584,Boy,21-25,Yes,Mid,High
585,Girl,21-25,No,Poor,Low
586,Girl,11-15,Yes,Poor,Low
587,Girl,21-25,Yes,Mid,Moderate
588,Boy,21-25,Yes,Poor,Low
589,Boy,16-20,Yes,Mid,Moderate
590,Boy,16-20,Yes,Rich,Moderate
591,Girl,21-25,Yes,Mid,Low
592,Boy,26-30,Yes,Rich,High
593,Boy,21-25,Yes,Mid,Low
594,Boy,11-15,Yes,Mid,Moderate
595,Boy,16-20,No,Rich,Low
596,Boy,26-30,Yes,Mid,Moderate
597,Boy,21-25,No,Poor,Moderate
598,Girl,11-15,Yes,Poor,Moderate
599,Girl,26-30,Yes,Mid,Low
600,Girl,1-5,Yes,Rich,Low
601,Girl,21-25,Yes,Poor,Low
602,Girl,21-25,Yes,Rich,Moderate
603,Girl,21-25,No,Mid,Low
604,Boy,21-25,No,Mid,Moderate
605,Boy,21-25,No,Poor,Moderate
606,Boy,11-15,Yes,Mid,High
607,Girl,16-20,No,Mid,Low
608,Boy,11-15,Yes,Mid,Moderate
609,Boy,1-5,Yes,Mid,Low
610,Boy,11-15,Yes,Mid,Low
611,Girl,11-15,Yes,Mid,Moderate
612,Boy,21-25,Yes,Mid,Moderate
613,Boy,21-25,No,Mid,Low
614,Boy,11-15,Yes,Poor,Low
615,Girl,6-10,Yes,Poor,High
616,Girl,1-5,Yes,Mid,Moderate
617,Girl,6-10,Yes,Poor,Low
618,Girl,21-25,Yes,Poor,Low
619,Boy,21-25,Yes,Rich,High
620,Boy,11-15,Yes,Mid,High
621,Girl,21-25,No,Mid,Moderate
622,Boy,21-25,Yes,Mid,Moderate
623,Girl,11-15,Yes,Mid,Moderate
624,Boy,1-5,Yes,Poor,Low
625,Boy,11-15,Yes,Mid,Low
626,Boy,16-20,Yes,Mid,Low
627,Boy,11-15,Yes,Mid,High
628,Boy,6-10,Yes,Rich,High
629,Boy,26-30,Yes,Mid,Moderate
630,Girl,11-15,Yes,Poor,Moderate
631,Girl,16-20,No,Mid,Moderate
632,Girl,21-25,Yes,Mid,Moderate
633,Girl,16-20,Yes,Mid,Low
634,Girl,21-25,Yes,Mid,Low
635,Boy,11-15,Yes,Mid,Moderate
636,Girl,26-30,Yes,Mid,Low
637,Girl,1-5,Yes,Mid,Moderate
638,Girl,1-5,Yes,Poor,Moderate
639,Boy,11-15,Yes,Poor,Moderate
640,Boy,11-15,Yes,Rich,High
641,Boy,11-15,Yes,Mid,Moderate
642,Boy,16-20,No,Mid,Low
643,Girl,6-10,Yes,Rich,High
644,Boy,11-15,Yes,Mid,Low
645,Girl,11-15,Yes,Poor,Moderate
646,Boy,26-30,No,Poor,Low
647,Boy,26-30,No,Poor,Moderate
